N (Matrix size);1 threads;4 threads;5 threads;8 threads
1;0.0000009;0.0000113;0.0000213;0.0000071
2;0.0004821;0.0000080;0.0000039;0.0000242
3;0.0000019;0.0000127;0.0000116;0.0000627
4;0.0000030;0.0000104;0.0000099;0.0000059
5;0.0000113;0.0000078;0.0000058;0.0000241
6;0.0000022;0.0000045;0.0000066;0.0000223
7;0.0000031;0.0000427;0.0000070;0.0000135
8;0.0000045;0.0000446;0.0000085;0.0000112
9;0.0000031;0.0000100;0.0000065;0.0000094
10;0.0000098;0.0000079;0.0000120;0.0000110
11;0.0000115;0.0000131;0.0000071;0.0000129
12;0.0000098;0.0000095;0.0000098;0.0006102
13;0.0000141;0.0000103;0.0000110;0.0003563
14;0.0001121;0.0000137;0.0032606;0.0000184
15;0.0000219;0.0000091;0.0000645;0.0000128
16;0.0000177;0.0000330;0.0000085;0.0004413
17;0.0010788;0.0000164;0.0000932;0.0000197
18;0.0003072;0.0000214;0.0000158;0.0000305
19;0.0000321;0.0000310;0.0000153;0.0000284
20;0.0000382;0.0000171;0.0000191;0.0000117
21;0.0000508;0.0000121;0.0000365;0.0000377
22;0.0000469;0.0000218;0.0000191;0.0000266
23;0.0005850;0.0004299;0.0000283;0.0000299
24;0.0000582;0.0000192;0.0000284;0.0003702
25;0.0000589;0.0002688;0.0002317;0.0000342
26;0.0002638;0.0000240;0.0007672;0.0000590
27;0.0000936;0.0000284;0.0000372;0.0000408
28;0.0000969;0.0000333;0.0000395;0.0006293
29;0.0001058;0.0000323;0.0000522;0.0000325
30;0.0014761;0.0000343;0.0000490;0.0000421
31;0.0001091;0.0000421;0.0000468;0.0000778
32;0.0001406;0.0000877;0.0001073;0.0000418
33;0.0001497;0.0000773;0.0000538;0.0000457
34;0.0001797;0.0000689;0.0000608;0.0014443
35;0.0001613;0.0000514;0.0007492;0.0000550
36;0.0001925;0.0000766;0.0000699;0.0002371
37;0.0001835;0.0000734;0.0000508;0.0000876
38;0.0002301;0.0000592;0.0001601;0.0000629
39;0.0002458;0.0000712;0.0000611;0.0000754
40;0.0002605;0.0001159;0.0000583;0.0000775
41;0.0002429;0.0001102;0.0000716;0.0001036
42;0.0003128;0.0004488;0.0000985;0.0012968
43;0.0003165;0.0000887;0.0000745;0.0000836
44;0.0003564;0.0001389;0.0001209;0.0000793
45;0.0004763;0.0001789;0.0001206;0.0001034
46;0.0003417;0.0005547;0.0001291;0.0000933
47;0.0004621;0.0001344;0.0001942;0.0001225
48;0.0005007;0.0002074;0.0001631;0.0001205
49;0.0004624;0.0001391;0.0001735;0.0001311
50;0.0005524;0.0002393;0.0005953;0.0001266
51;0.0005328;0.0001377;0.0001686;0.0001278
52;0.0004888;0.0002491;0.0001961;0.0008278
53;0.0006219;0.0001493;0.0001368;0.0001167
54;0.0007948;0.0002512;0.0002169;0.0040431
55;0.0007341;0.0001794;0.0001477;0.0001525
56;0.0006343;0.0003126;0.0002572;0.0002673
57;0.0006626;0.0001926;0.0001946;0.0001699
58;0.0008385;0.0003386;0.0002715;0.0001814
59;0.0008766;0.0003155;0.0001742;0.0002175
60;0.0008838;0.0003437;0.0002873;0.0002267
61;0.0009853;0.0003755;0.0002823;0.0002084
62;0.0010018;0.0002658;0.0002488;0.0002492
63;0.0010924;0.0004092;0.0003395;0.0002008
64;0.0010693;0.0002560;0.0003479;0.0003356
65;0.0011067;0.0003176;0.0003916;0.0002530
66;0.0011382;0.0002931;0.0003706;0.0002637
67;0.0012764;0.0004877;0.0002807;0.0002624
68;0.0013605;0.0003223;0.0002791;0.0002797
69;0.0013828;0.0003671;0.0004208;0.0005039
70;0.0013527;0.0006331;0.0002968;0.0003028
71;0.0014015;0.0003975;0.0004766;0.0004782
72;0.0015770;0.0003812;0.0005364;0.0003852
73;0.0018831;0.0006405;0.0003625;0.0003941
74;0.0014159;0.0004547;0.0005284;0.0005499
75;0.0014934;0.0004204;0.0005312;0.0003848
76;0.0018369;0.0004630;0.0006128;0.0005010
77;0.0017977;0.0005729;0.0006216;0.0006364
78;0.0016083;0.0005164;0.0004229;0.0004457
79;0.0018533;0.0005658;0.0007012;0.0005826
80;0.0022463;0.0006025;0.0005673;0.0005159
81;0.0018199;0.0006595;0.0008223;0.0004647
82;0.0020017;0.0007004;0.0005159;0.0005724
83;0.0020248;0.0005769;0.0007598;0.0004986
84;0.0023388;0.0011105;0.0008189;0.0005052
85;0.0025019;0.0006911;0.0008193;0.0005003
86;0.0025455;0.0012054;0.0008771;0.0005167
87;0.0026353;0.0012083;0.0008948;0.0006985
88;0.0027720;0.0009786;0.0009904;0.0006226
89;0.0029179;0.0009724;0.0009513;0.0009496
90;0.0030884;0.0008444;0.0007915;0.0009329
91;0.0032328;0.0009594;0.0011654;0.0007313
92;0.0033148;0.0008402;0.0010558;0.0006806
93;0.0032378;0.0014072;0.0010583;0.0008526
94;0.0035483;0.0014375;0.0010761;0.0008882
95;0.0034998;0.0010815;0.0015746;0.0008107
96;0.0032572;0.0016412;0.0013171;0.0016525
97;0.0038440;0.0011579;0.0014105;0.0011261
98;0.0042293;0.0011713;0.0013997;0.0014159
99;0.0041897;0.0018079;0.0010632;0.0009684
100;0.0033512;0.0014979;0.0015114;0.0013740
